Movie,Release Date,Release Month,Release Day,Release Year,Ownership,Domestic Box Office,Inflation Adjusted Domestic,International Box Office,Inflation Adjusted International,Worldwide Box Office,Inflation Adjusted Worldwide,Opening Weekend,Inflation Adjusted Opening Weekend,Budget,Inflation Adjusted Budget,IMDb Score,Meta Score,Tomatometer,Rotten Tomato Audience Score,Run Time In Minutes,Phase,Director
Iron Man,5/2/2008,May,2,2008,Marvel Studios,318604126,467231126,266567421,390919596.15346,585171547,858150722.15346,102118668,149756442,186000000,272767935,7.9,79,94,91,126,One,Jon Favreau
The Incredible Hulk,6/13/2008,June,13,2008,Marvel Studios,134806913,197704288,130766946,191779378.204918,265573859,389483666.204918,55414050,81268794,137500000,201653899,6.6,61,67,69,112,One,Louis Leterrier
Iron Man 2,5/7/2010,May,7,2010,Marvel Studios,312433331,416973763,308723058,412022029.810665,621156389,828995792.810665,128122480,170992360,170000000,226882130,6.9,57,72,71,124,One,Jon Favreau
Thor,5/6/2011,May,6,2011,Marvel Studios,181030624,240384926,268295994,356261892.262971,449326618,596646818.262971,65723338,87271973,150000000,199180327,7,57,77,76,115,One,Kenneth Brangh
Captain America: The First Avenger,7/22/2011,July,22,2011,Marvel Studios,176654505,234574020,193915271,257494054.045547,370569776,492068074.045547,65058524,86389190,140000000,185901643,6.9,66,80,75,124,One,Joe Johnston
The Avengers,5/4/2012,May,4,2012,Marvel Studios,623357910,824617936,891742301,1179654070.15451,1515100211,2004272006.15451,207438708,274413265,225000000,297644471,8,69,91,91,143,One,Joss Whedon
Iron Man 3,5/3/2013,May,3,2013,Marvel Studios,408992272,529727993,806400000,1044451650.55637,1215392272,1574179643.55637,174144585,225552578,200000000,259040588,7.1,62,79,78,130,Two,Shane Black
Thor: The Dark World,11/8/2013,November,8,2013,Marvel Studios,206362140,267262372,438240376,567570981.750489,644602516,834833353.750489,85737841,111040226,150000000,194267009,6.8,54,67,75,112,Two,Alan Taylor
Captain America: The Winter Soldier,4/4/2014,April,4,2014,Marvel Studios,259746958,334777900,454654931,585987317.028848,714401889,920765217.028848,95023721,122472432,170000000,219106485,7.7,70,90,92,132,Two,Anthony and Joe Russo
Guardians of The Galaxy,8/1/2014,August,1,2014,Marvel Studios,333714112,430014621,437168283,563322756.717779,770882395,993337377.717779,94320883,121539238,170000000,219057220,8,76,92,92,121,Two,James Gunn
Avengers: Age of Ultron,5/1/2015,May,1,2015,Marvel Studios,459005868,573348960,936311111,1169555857.89656,1395316979,1742904817.89656,191271109,238918713,365000000,455925262,7.3,66,76,82,141,Two,Joss Whedon
Ant-Man,7/17/2015,July,17,2015,Marvel Studios,180202163,225092376,338656286,423019051.458753,518858449,648111427.458753,57225526,71480993,130000000,162384338,7.3,64,83,85,117,Two,Peyton Reed
Captain America: Civil War,5/6/2016,May,6,2016,Marvel Studios,408084349,496777822,743815237,905476807.215838,1151899586,1402254629.21584,179139142,218073428,250000000,304335258,7.8,75,90,89,147,Three,Anthony and Joe Russo
Doctor Strange,11/4/2016,November,4,2016,Marvel Studios,232641920,283094491,443701254,539925825.307802,676343174,823020316.307802,85058311,103504731,165000000,200783208,7.5,72,89,86,115,Three,Scott Derrickson
